Grad,Deo_Grada,Ulica,Cena_EUR,Kvadratura_m2,Cena_po_m2,Naslov,Link,Lokacija_Osnovna
Beograd,Crveni krst,Mileševska,225000,42.0,5357.14,"Svetao stan u Mileševskoj, blizu Crvenog krsta, 42m2",https://www.nekretnine.rs/stambeni-objekti/stanovi/svetao-stan-u-milesevskoj-blizu-crvenog-krsta-42m2/Nko2SG5Kq2W/,"Crveni krst, Beograd, Srbija"
Beograd,Gradska bolnica,Krfska,198000,51.0,3882.35,"Prodajemo useljiv dvosoban stan u novogradnji, 51m2",https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-useljiv-dvosoban-stan-u-novogradnji-51m2/NkB47MWPuAq/,"Gradska bolnica, Beograd, Srbija"
Beograd,Šumice,Vladimira Tomanovića,225000,65.0,3461.54,Prodajemo namešten 2.5 stan kod hotela Srbija 65m2,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-namesten-25-stan-kod-hotela-srbija-65m2/NkF0DDkVnqW/,"Šumice, Beograd, Srbija"
Beograd,Donji Dorćol,Dubrovačka,370000,71.0,5211.27,"Renoviran 3.5 stan blizu Dunavskog keja, 71m2",https://www.nekretnine.rs/stambeni-objekti/stanovi/renoviran-35-stan-blizu-dunavskog-keja-71m2/NkgvX9Bz8iv/,"Donji Dorćol, Beograd, Srbija"
Beograd,Kalenić pijaca,Radoslava Grujića,285000,71.0,4014.08,"Dvosoban stan sa terasom od 25 m², Vračar, Kalenić",https://www.nekretnine.rs/stambeni-objekti/stanovi/dvosoban-stan-sa-terasom-od-25-m2-vracar-kalenic/Nkk-N1BwdYQ/,"Kalenić pijaca, Beograd, Srbija"
Niš,Crveni Krst,Ratka Jovića,107000,64.0,1671.88,"3.0, Ratko Jović",https://www.nekretnine.rs/stambeni-objekti/stanovi/30-ratko-jovic/Nkm9-p58rf1/,"Crveni Krst, Niš, Srbija"
Beograd,Karaburma,Marijane Gregoran,117000,44.0,2659.09,Marijane Gregoran - 2.0 uknjižen stan,https://www.nekretnine.rs/stambeni-objekti/stanovi/marijane-gregoran-20-uknjizen-stan/NkdyTKgWVOc/,"Karaburma, Beograd, Srbija"
Beograd,Gradska bolnica,N/A,270000,76.0,3552.63,Ušuškan dupleks na Zvezdari sa dve spavaće sobe,https://www.nekretnine.rs/stambeni-objekti/stanovi/ususkan-dupleks-na-zvezdari-sa-dve-spavace-sobe/Nk8ySH3wUpW/,"Gradska bolnica, Beograd, Srbija"
Beograd,Crveni krst,Djerdapska,149000,32.0,4656.25,Kompletno nov 1.0 stan u novoj zgradi na Vracaru,https://www.nekretnine.rs/stambeni-objekti/stanovi/kompletno-nov-10-stan-u-novoj-zgradi-na-vracaru/NkNdkH3SjVd/,"Crveni krst, Beograd, Srbija"
Beograd,Olimp,Duvanjska,300000,74.0,4054.05,Stan sa posebnom energijom u srcu Zvezdare ID#2720,https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-sa-posebnom-energijom-u-srcu-zvezdare-id2720/Nk0KlpyYziS/,"Olimp, Beograd, Srbija"
