Grad,Deo_Grada,Ulica,Cena_EUR,Kvadratura_m2,Cena_po_m2,Naslov,Link,Lokacija_Osnovna
Beograd,Mirijevo III,Dimitrija paramendica,90000,36.0,2500.0,Mirijevo Novogradnja-garsonjera 36m2,https://www.nekretnine.rs/stambeni-objekti/stanovi/mirijevo-novogradnja-garsonjera-36m2/NkcB-RcGSl3/,"Mirijevo III, Beograd, Srbija"
Beograd,Učiteljsko naselje,Paje Jovanovica,173000,58.0,2982.76,"Noviji, Odličan,3.0, Uknjižen, Garažno mesto",https://www.nekretnine.rs/stambeni-objekti/stanovi/noviji-odlican-30-uknjizen-garazno-mesto/NkT-Xu4yq1X/,"Učiteljsko naselje, Beograd, Srbija"
Beograd,Zemun (Gornji grad),Cara Dušana,171420,57.0,3007.37,"Zemun, Gornji Grad, Cara Dušana, 2.0, 57m2, 171420 EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-gornji-grad-cara-dusana-20-57m2-171420-eur/NkIdTsG5xrP/,"Zemun (Gornji grad), Beograd, Srbija"
Beograd,Zemun (Gornji grad),Cara Dušana,210300,70.0,3004.29,"Zemun, Gornji Grad, Cara Dušana, 3.0, 70m2, 210300 EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-gornji-grad-cara-dusana-30-70m2-210300-eur/NkYX0wewTKM/,"Zemun (Gornji grad), Beograd, Srbija"
Niš,Pantelej,Hadži Prodanova,181412,95.48,1900.0,"NOVOGRADNJA - DIREKTNA PRODAJA - 95,48 m2",https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-direktna-prodaja-95-48-m2/NkH165cgxaB/,"Pantelej, Niš, Srbija"
Beograd,Autokomanda,N/A,255000,77.0,3311.69,Lux novogradnja Vojvode Stepe,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-novogradnja-vojvode-stepe/NkKNHs2lJUK/,"Autokomanda, Beograd, Srbija"
Beograd,Novi Beograd Blok 65,Đorđa Stanojevića 37,170000,33.0,5151.52,"Namešten luksuzan stan, Airport Garden 33m2, Nov, Neuseljavan",https://www.nekretnine.rs/stambeni-objekti/stanovi/namesten-luksuzan-stan-airport-garden-33m2-nov-neuseljavan/Nkwt5pSw80T/,"Novi Beograd Blok 65, Beograd, Srbija"
Beograd,Novi Beograd Blok 67a,Omladinskih brigada,371850,74.0,5025.0,"Novi Beograd, Blok 67a, A blok, Omladinskih brigada, 3.0, 74m2, 371850 EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-67a-a-blok-omladinskih-brigada-30-74m2-371850-eur/Nk7aVTMB841/,"Novi Beograd Blok 67a, Beograd, Srbija"
Beograd,Centar (uži),-,176000,119.0,1478.99,"Zemun, Centar, -, 4.0, 119m2, 176000 EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-centar-40-119m2-176000-eur/NkM1RC_4JLx/,"Centar (uži), Beograd, Srbija"
Niš,Ledena stena,N/A,72000,39.0,1846.15,Prodaja stana u Nišu-Novogradnja-Ledena stena,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaja-stana-u-nisu-novogradnja-ledena-stena/NkkUS5gTe_1/,"Ledena stena, Niš, Srbija"
Beograd,Beograd na vodi,N/A,235000,54.18,4337.39,Odlična investiciona prilika - BW Aurora,https://www.nekretnine.rs/stambeni-objekti/stanovi/odlicna-investiciona-prilika-bw-aurora/NkUjXyxhjRB/,"Beograd na vodi, Beograd, Srbija"
Beograd,Zemun (Zemunske kapije),N/A,285000,91.0,3131.87,Dupleks u stambenom kompleksu Zemunske kapije,https://www.nekretnine.rs/stambeni-objekti/stanovi/dupleks-u-stambenom-kompleksu-zemunske-kapije/NkkD8MN68zX/,"Zemun (Zemunske kapije), Beograd, Srbija"
Beograd,Voždovac,Vojislava Ilica 131,277000,84.0,3297.62,Vojislava Ilica kod Vera / 84m2,https://www.nekretnine.rs/stambeni-objekti/stanovi/vojislava-ilica-kod-vera--84m2/NkEpfLSzxng/,"Voždovac, Beograd, Srbija"
Beograd,Karađorđeva,Karađorđeva,375000,98.0,3826.53,"Salonski stan kod hotela Bristol, 101 m2 (98 m2 korisne površine +3 m2 terasa), fascinantan pogled",https://www.nekretnine.rs/stambeni-objekti/stanovi/salonski-stan-kod-hotela-bristol-101-m2-98-m2-korisne-povrsine-3-m2-terasa-fascinantan-pogled/NkbU5i6WEQx/,"Karađorđeva, Beograd, Srbija"
Smederevo,Centar,Mome Ardelica,127100,79.48,1599.14,Trosoban stan u centru grada,https://www.nekretnine.rs/stambeni-objekti/stanovi/trosoban-stan-u-centru-grada/NkMQe1b92AP/,"Centar, Smederevo, Srbija"
Smederevo,Centar,Mome Ardelica,90432,56.52,1600.0,Novogradnja u centru grada,https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-u-centru-grada/Nk8pKVyEWZa/,"Centar, Smederevo, Srbija"
Beograd,Južni bulevar,Juzni Bulevar,407400,97.0,4200.0,Dizajnerski oblikovan stan na Juznom bulevaru,https://www.nekretnine.rs/stambeni-objekti/stanovi/dizajnerski-oblikovan-stan-na-juznom-bulevaru/NkgRl1Jhgu-/,"Južni bulevar, Beograd, Srbija"
Beograd,Beograd na vodi,BW Quartet 1,497000,114.0,4359.65,"BW Quartet 1, luks 3.0 penthaus, 114m2, useljiv",https://www.nekretnine.rs/stambeni-objekti/stanovi/bw-quartet-1-luks-30-penthaus-114m2-useljiv/Nktj7OAPyuT/,"Beograd na vodi, Beograd, Srbija"
Beograd,Beograd na vodi,BW Arcadia,380000,90.0,4222.22,"Odličan 3.0 stan, Beograd na vodi, Arcadia, 90m2",https://www.nekretnine.rs/stambeni-objekti/stanovi/odlican-30-stan-beograd-na-vodi-arcadia-90m2/NkVxaVqldq8/,"Beograd na vodi, Beograd, Srbija"
Beograd,Dedinje (Beli dvor),Miloj Đaka,370000,119.0,3109.24,"Nova ponuda! Dedinje, kod Belog dvora, komforan stan sa parking mestom, uknjižen, preporuka",https://www.nekretnine.rs/stambeni-objekti/stanovi/nova-ponuda-dedinje-kod-belog-dvora-komforan-stan-sa-parking-mestom-uknjizen-preporuka/NktJLmToGxN/,"Dedinje (Beli dvor), Beograd, Srbija"
Beograd,Novi Beograd Blok 65,Omladinskih Brigada,380000,61.0,6229.51,"West 65 Kula,Extra, 61m2 , Garaža,Top pozicija,Potpuno opremljen",https://www.nekretnine.rs/stambeni-objekti/stanovi/west-65-kula-extra-61m2-garaza-top-pozicija-potpuno-opremljen/Nkgk72cBWtK/,"Novi Beograd Blok 65, Beograd, Srbija"
Beograd,Novi Beograd Blok 65,Tošin Bunar,299000,70.0,4271.43,"Novo,Savada 3,3.0,Ceo namešten,Ne useljavan,Garaža",https://www.nekretnine.rs/stambeni-objekti/stanovi/novo-savada-3-30-ceo-namesten-ne-useljavan-garaza/NkB_QHO6NDx/,"Novi Beograd Blok 65, Beograd, Srbija"
Beograd,Trošarina,Trošarina,215000,56.0,3839.29,Nov dvosoban stan u zatvorenom kompleksu sa garažom,https://www.nekretnine.rs/stambeni-objekti/stanovi/nov-dvosoban-stan-u-zatvorenom-kompleksu-sa-garazom/NkZpSuR5FUT/,"Trošarina, Beograd, Srbija"
Beograd,Novi Beograd Blok 65,N/A,239000,56.0,4267.86,"Airport Garden, Novogradnja,Lux,2.0,Plaćen pdv",https://www.nekretnine.rs/stambeni-objekti/stanovi/airport-garden-novogradnja-lux-20-placen-pdv/Nkjna1wds5v/,"Novi Beograd Blok 65, Beograd, Srbija"
Loznica,Centar,Luke Stevica bb,73840,46.15,1600.0,ĐUKIĆ DOO -stanovi u izgradnji direkno od investitora,https://www.nekretnine.rs/stambeni-objekti/stanovi/dukic-doo-stanovi-u-izgradnji-direkno-od-investitora/NkeMjQ-tzof/,"Centar, Loznica, Srbija"
Beograd,Miljakovac I,N/A,249000,88.0,2829.55,"Bajkoviti stan u zelenoj oazi, 88 m², V sprat, Beograd, Miljakovac – 249.000€",https://www.nekretnine.rs/stambeni-objekti/stanovi/bajkoviti-stan-u-zelenoj-oazi-88-m2-v-sprat-beograd-miljakovac---249000eur/Nk9rBIc4AEI/,"Miljakovac I, Beograd, Srbija"
Novi Sad,Novo Naselje,N/A,65000,31.0,2096.77,"JEDNOSOBAN STAN NA NOVOM NASELJU – 31m2 – SATELIT, NOVI SAD - 65.000€",https://www.nekretnine.rs/stambeni-objekti/stanovi/jednosoban-stan-na-novom-naselju---31m2---satelit-novi-sad-65000eur/NkEt1srK3jc/,"Novo Naselje, Novi Sad, Srbija"
Obrenovac,Rvati,N/A,72000,40.0,1800.0,"Jednoiposoban stan 40 m², PR, Obrenovac - 72.000€",https://www.nekretnine.rs/stambeni-objekti/stanovi/jednoiposoban-stan-40-m2-pr-obrenovac-72000eur/NkX6oXuJ-HJ/,"Rvati, Obrenovac, Srbija"
Beograd,Voždovac,N/A,195000,68.0,2867.65,Kostolačka - 06 - Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/kostolacka-06-vozdovac/NkXGTuxMSvx/,"Voždovac, Beograd, Srbija"
Beograd,Lekino brdo,Maksima Gorkog,287000,82.0,3500.0,Lekino brdo - 01 - Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/lekino-brdo-01-vozdovac/Nk0cgdGY9OR/,"Lekino brdo, Beograd, Srbija"
Beograd,Lekino brdo,N/A,242000,48.0,5041.67,Merin Hill - 06 - Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/merin-hill-06-vozdovac/NkZtNRepwko/,"Lekino brdo, Beograd, Srbija"
Beograd,Voždovac,Strumička,560000,283.0,1978.8,Strumička - 02 - Voždovac,https://www.nekretnine.rs/stambeni-objekti/stanovi/strumicka-02-vozdovac/NkgWN8EY35H/,"Voždovac, Beograd, Srbija"
Beograd,Crveni krst,Mileševska,430000,100.0,4300.0,Mileševska -05 - Vračar,https://www.nekretnine.rs/stambeni-objekti/stanovi/milesevska-05-vracar/NkAp9DchdfV/,"Crveni krst, Beograd, Srbija"
Niš,Čair,N/A,140400,72.0,1950.0,"Residence 39 | Čair, Novi Klinički",https://www.nekretnine.rs/stambeni-objekti/stanovi/residence-39--cair-novi-klinicki/Nk-KO9C8Gqa/,"Čair, Niš, Srbija"
Niš,Čair,Ljube Nenadovića,140400,72.0,1950.0,"Residence 39 | Čair, Novi Klinički",https://www.nekretnine.rs/stambeni-objekti/stanovi/residence-39--cair-novi-klinicki/NkMoFHEd3SV/,"Čair, Niš, Srbija"
Beograd,Novi Beograd Blok 65,N/A,339000,97.0,3494.85,"Top ponuda, Welport Nov,97 m2,3.0,Svetao,Garaza, Ceo opremljen",https://www.nekretnine.rs/stambeni-objekti/stanovi/top-ponuda-welport-nov-97-m2-30-svetao-garaza-ceo-opremljen/NkeNmYwD3lr/,"Novi Beograd Blok 65, Beograd, Srbija"
Beograd,Mirijevo I,N/A,187000,86.0,2174.42,Mirijevo-Za miran porodičan život,https://www.nekretnine.rs/stambeni-objekti/stanovi/mirijevo-za-miran-porodican-zivot/Nkva_M8f08E/,"Mirijevo I, Beograd, Srbija"
Loznica,Lagator,Vladimira T. Filipovića 12,57540,42.0,1370.0,Apartman u prizemlju!,https://www.nekretnine.rs/stambeni-objekti/stanovi/apartman-u-prizemlju/NkfsQ7jhnOe/,"Lagator, Loznica, Srbija"
Loznica,Lagator,Vladimira T. Filipovića 12,64390,47.0,1370.0,Apartman u prizemlju!,https://www.nekretnine.rs/stambeni-objekti/stanovi/apartman-u-prizemlju/NkvNj5CF3LS/,"Lagator, Loznica, Srbija"
Beograd,Beograd na vodi,N/A,380000,90.0,4222.22,Trosoban stan u BW Arcadia sa panoramskim pogledom na Kulu Beograd i Skyline,https://www.nekretnine.rs/stambeni-objekti/stanovi/trosoban-stan-u-bw-arcadia-sa-panoramskim-pogledom-na-kulu-beograd-i-skyline/NkHh7zz1l6_/,"Beograd na vodi, Beograd, Srbija"
Loznica,Centar,Bolnička 9,101640,77.0,1320.0,Na prodaju uskoro useljiv stan!,https://www.nekretnine.rs/stambeni-objekti/stanovi/na-prodaju-uskoro-useljiv-stan/NkvhUwsDygl/,"Centar, Loznica, Srbija"
Beograd,Južni bulevar,Kneza Stracimira,544000,119.0,4571.43,Premium penthouse na Vračaru,https://www.nekretnine.rs/stambeni-objekti/stanovi/premium-penthouse-na-vracaru/NkLujnGeFgQ/,"Južni bulevar, Beograd, Srbija"
Zlatibor,Palisad,Andrije Jevremovica,69700,41.0,1700.0,PANORAMA ZLATIBOR - Apartman 41m2 BESPLATAN WELLNESS&SPA,https://www.nekretnine.rs/stambeni-objekti/stanovi/panorama-zlatibor-apartman-41m2-besplatan-wellnessspa/Nk0rANSy1_7/,"Palisad, Zlatibor, Srbija"
Beograd,Kneza Miloša ( centar ),Kneza Milosa 90,550000,107.0,5140.19,"Skyline, porodican cetvorosoban stan",https://www.nekretnine.rs/stambeni-objekti/stanovi/skyline-porodican-cetvorosoban-stan/NkXoQBKSJBx/,"Kneza Miloša ( centar ), Beograd, Srbija"
Novi Sad,Telep,Heroja Pinkija 140,244400,94.0,2600.0,DUNAV RESIDENCE,https://www.nekretnine.rs/stambeni-objekti/stanovi/dunav-residence/NkHeXa7WRF9/,"Telep, Novi Sad, Srbija"
Novi Sad,Telep,Heroja Pinkija 140,213200,82.0,2600.0,DUNAV RESIDENCE,https://www.nekretnine.rs/stambeni-objekti/stanovi/dunav-residence/Nkr5UpFJKEG/,"Telep, Novi Sad, Srbija"
Novi Sad,Telep,Heroja Pinkija 140,273000,105.0,2600.0,DUNAV RESIDENCE,https://www.nekretnine.rs/stambeni-objekti/stanovi/dunav-residence/NkghM3UseXX/,"Telep, Novi Sad, Srbija"
Pančevo,Centar,Svetozara Miletića,136500,78.0,1750.0,"NOVOGRADNJA PANČEVO – Svetozara Miletića 68 – trosoban stan 77,46 m²",https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-pancevo---svetozara-miletica-68---trosoban-stan-77-46-m2/NkABbu-wZqU/,"Centar, Pančevo, Srbija"
Pančevo,Centar,Svetozara Miletića,124250,71.0,1750.0,"NOVOGRADNJA PANČEVO – Svetozara Miletića 68 – trosoban stan 70,50 m²",https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-pancevo---svetozara-miletica-68---trosoban-stan-70-50-m2/Nk0NS04bDam/,"Centar, Pančevo, Srbija"
Pančevo,Centar,Svetozara Miletića,133000,76.0,1750.0,"NOVOGRADNJA PANČEVO – COMIX ATRIUM, Svetozara Miletića 68 – trosoban stan 75,72 m²",https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-pancevo---comix-atrium-svetozara-miletica-68---trosoban-stan-75-72-m2/NkOk_FuHLei/,"Centar, Pančevo, Srbija"
Pančevo,Centar,Svetozara Miletića,136500,78.0,1750.0,"NOVOGRADNJA PANČEVO – Svetozara Miletića 68 – trosoban stan 77,88 m²",https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-pancevo---svetozara-miletica-68---trosoban-stan-77-88-m2/Nk0I12ih1BB/,"Centar, Pančevo, Srbija"
Pančevo,Centar,Svetozara Miletića,124250,71.0,1750.0,"NOVOGRADNJA PANČEVO – Svetozara Miletića 68 – trosoban stan 70,29 m²",https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-pancevo---svetozara-miletica-68---trosoban-stan-70-29-m2/NkHeqy9w6GA/,"Centar, Pančevo, Srbija"
Pančevo,Centar,Svetozara Miletića,252000,144.0,1750.0,"NOVOGRADNJA PANČEVO – Svetozara Miletića 68 – COMIX ATRIUM, četvorosoban stan 144,41 m²",https://www.nekretnine.rs/stambeni-objekti/stanovi/novogradnja-pancevo---svetozara-miletica-68---comix-atrium-cetvorosoban-stan-144-41-m2/NkwraQLdOPR/,"Centar, Pančevo, Srbija"
Kragujevac,Mala vaga,Tome Vučića 30,114545,78.67,1456.02,Četvorosoban stan u izgradnji – Lepenički cvet,https://www.nekretnine.rs/stambeni-objekti/stanovi/cetvorosoban-stan-u-izgradnji---lepenicki-cvet/Nke-Z4HKodF/,"Mala vaga, Kragujevac, Srbija"
Beograd,Voždovac,Vojvode Stepe 391,476250,158.0,3014.24,"PREMIUM, SQUARE 2, 158m četvorosoban",https://www.nekretnine.rs/stambeni-objekti/stanovi/premium-square-2-158m-cetvorosoban/NkENiCPOuOr/,"Voždovac, Beograd, Srbija"
Beograd,Vračar (Centar),Vojvode Dragomira,322000,87.0,3701.15,Lux Stan Na Vračaru,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-stan-na-vracaru/NkZ0I2klc6h/,"Vračar (Centar), Beograd, Srbija"
Beograd,Novi Beograd Blok 63,Nehruova,185000,65.0,2846.15,"Dvostran stan, 4/4, Nehruova, 65m2, rečni kej na 350m šetnje",https://www.nekretnine.rs/stambeni-objekti/stanovi/dvostran-stan-44-nehruova-65m2-recni-kej-na-350m-setnje/NkV63_-CEk2/,"Novi Beograd Blok 63, Beograd, Srbija"
Beograd,Vračar (Centar),Krunska,530000,100.0,5300.0,"Kompletno renoviran salonski stan, 100m2, Krunska ulica",https://www.nekretnine.rs/stambeni-objekti/stanovi/kompletno-renoviran-salonski-stan-100m2-krunska-ulica/NkJENCWduxc/,"Vračar (Centar), Beograd, Srbija"
Novi Sad,Telep,Heroja Pinkija 140,208000,80.0,2600.0,DUNAV RESIDENCE,https://www.nekretnine.rs/stambeni-objekti/stanovi/dunav-residence/NkJlrxOQBNU/,"Telep, Novi Sad, Srbija"
Obrenovac,Belo Polje,kružni put,113896,76.0,1498.63,"Obrenovac, Belo Polje Park bez provizije",https://www.nekretnine.rs/stambeni-objekti/stanovi/obrenovac-belo-polje-park-bez-provizije/Nk-9Gr223rv/,"Belo Polje, Obrenovac, Srbija"
Beograd,Donji Dorćol,N/A,843270,156.34,5393.82,Direktan pogled na reku i promenadu,https://www.nekretnine.rs/stambeni-objekti/stanovi/direktan-pogled-na-reku-i-promenadu/Nk_oXs-5LMn/,"Donji Dorćol, Beograd, Srbija"
Beograd,Donji Dorćol,N/A,655257,145.0,4519.01,Stan sa privatnom baštom u naselju Marina Dorćol,https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-sa-privatnom-bastom-u-naselju-marina-dorcol/NkaPoeidAmL/,"Donji Dorćol, Beograd, Srbija"
Beograd,Donji Dorćol,N/A,853768,160.62,5315.45,Stan sa direktnim pogledom na reku i privatni park,https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-sa-direktnim-pogledom-na-reku-i-privatni-park/Nk-Gj9nrErY/,"Donji Dorćol, Beograd, Srbija"
Beograd,Donji Dorćol,N/A,552355,99.02,5578.22,Komforan trosoban stan sa prostranom terasom,https://www.nekretnine.rs/stambeni-objekti/stanovi/komforan-trosoban-stan-sa-prostranom-terasom/NkHGEPszLuM/,"Donji Dorćol, Beograd, Srbija"
Beograd,Donji Dorćol,N/A,628530,98.43,6385.55,Atraktivan stan sa panoramskim pogledom na centar Beograda,https://www.nekretnine.rs/stambeni-objekti/stanovi/atraktivan-stan-sa-panoramskim-pogledom-na-centar-beograda/Nk0HpAyYsf6/,"Donji Dorćol, Beograd, Srbija"
Beograd,Donji Dorćol,N/A,554981,96.79,5733.87,Stan sa baštom uključenom u cenu Marina Dorćol,https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-sa-bastom-ukljucenom-u-cenu-marina-dorcol/NkgN14D2PsT/,"Donji Dorćol, Beograd, Srbija"
Beograd,Donji Dorćol,N/A,517658,93.16,5556.66,Privatna bašta od 62 m² uključena u cenu stana u naselju Marina Dorćol,https://www.nekretnine.rs/stambeni-objekti/stanovi/privatna-basta-od-62-m2-ukljucena-u-cenu-stana-u-naselju-marina-dorcol/Nk2NYjmazPY/,"Donji Dorćol, Beograd, Srbija"
Zlatibor,Centar,Srebrna pahulja 6,71999,37.0,1945.92,"AKCIJA - PANORAMA TORNIK - USELJIV - RECEPCIJA, BAZEN, SPA, TERETANA",https://www.nekretnine.rs/stambeni-objekti/stanovi/akcija-panorama-tornik-useljiv-recepcija-bazen-spa-teretana/Nk4F8NHWQrJ/,"Centar, Zlatibor, Srbija"
Vrnjačka Banja,Raj,Moravska,62342,44.53,1400.0,Jednosoban stan na drugom spratu,https://www.nekretnine.rs/stambeni-objekti/stanovi/jednosoban-stan-na-drugom-spratu/NkseXsVHOiX/,"Raj, Vrnjačka Banja, Srbija"
Beograd,Kaluđerica,Mokroluška,98970,61.86,1599.9,STAN U NOVOGRADNJI,https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-u-novogradnji/NkBiugVEltz/,"Kaluđerica, Beograd, Srbija"
Beograd,Kaluđerica,Mokroluška,133450,83.41,1599.93,STAN U NOVOGRADNJI,https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-u-novogradnji/Nkt3DP6hzRw/,"Kaluđerica, Beograd, Srbija"
Beograd,Kaluđerica,Mokroluška,90190,56.37,1599.96,STAN U NOVOGRADNJI,https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-u-novogradnji/Nk_Ie5KSbuC/,"Kaluđerica, Beograd, Srbija"
Veliko Gradište,Srebrno jezero,N/A,37570,32.67,1149.98,Srebrno jezero - Novogradnja - Apartman 32.67 m2,https://www.nekretnine.rs/stambeni-objekti/stanovi/srebrno-jezero-novogradnja-apartman-3267-m2/NkpyB-SKufS/,"Srebrno jezero, Veliko Gradište, Srbija"
Veliko Gradište,Srebrno jezero,N/A,37559,32.66,1150.0,Srebrno jezero - Novogradnja - Apartman 32.66 m2,https://www.nekretnine.rs/stambeni-objekti/stanovi/srebrno-jezero-novogradnja-apartman-3266-m2/NkyqVvOGxEF/,"Srebrno jezero, Veliko Gradište, Srbija"
Niš,Medijana,Dečanska 3,191432,94.07,2035.0,EKSKLUZIVNA LOKACIJA | 94m2 | NIŠ CENTAR,https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivna-lokacija--94m2--nis-centar/NkdcaDCobXB/,"Medijana, Niš, Srbija"
Beograd,Tašmajdan,Dr Dragoslava Popovića,310000,80.0,3875.0,"3.0, Tašmajdan, LUX, salonski, baštaDr Dragoslava Popovića, 80m2, Dr Dragoslava Popovića",https://www.nekretnine.rs/stambeni-objekti/stanovi/30-tasmajdan-lux-salonski-bastadr-dragoslava-popovica-80m2-dr-dragoslava-popovica/NkdjviLAqh8/,"Tašmajdan, Beograd, Srbija"
Beograd,Zemun (Zemunske kapije),Šumadijska 16,228500,69.0,3311.59,"Zemun, 69m, trosoban , useljiv",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-69m-trosoban-useljiv/Nkc2W1aTqU0/,"Zemun (Zemunske kapije), Beograd, Srbija"
Beograd,Zemun (Zemunske kapije),Šumadijska 16,323000,97.0,3329.9,"97m četvorosoban stan, Useljiv, Zemun , Šumadijska 16",https://www.nekretnine.rs/stambeni-objekti/stanovi/97m-cetvorosoban-stan-useljiv-zemun-sumadijska-16/NkUdLWHq4cB/,"Zemun (Zemunske kapije), Beograd, Srbija"
Novi Sad,Lipov gaj,Mirona Đorđevića,173040,76.0,2276.84,Prodaje se prelep četvorosoban stan u blizini Lipovog Gaja! ID#1769,https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaje-se-prelep-cetvorosoban-stan-u-blizini-lipovog-gaja-id1769/NkDWXvYftCi/,"Lipov gaj, Novi Sad, Srbija"
Vrnjačka Banja,Centar,Vrnjačka br. 12,234124,60.97,3839.99,"Prodaja luksuznih apartmana u kompleksu ""Zepterme"" u srcu Vrnjačke Banje, na samoj Promenadi",https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaja-luksuznih-apartmana-u-kompleksu-zepterme-u-srcu-vrnjacke-banje-na-samoj-promenadi/NkxBCqvM3D2/,"Centar, Vrnjačka Banja, Srbija"
Veliko Gradište,Srebrno jezero,N/A,35500,34.0,1044.12,Srebrno jezero - Apartmani na prodaju,https://www.nekretnine.rs/stambeni-objekti/stanovi/srebrno-jezero-apartmani-na-prodaju/NkAqDr6IPtX/,"Srebrno jezero, Veliko Gradište, Srbija"
Veliko Gradište,Srebrno jezero,N/A,34500,33.0,1045.45,Srebrno jezero - Prodaja apartmana,https://www.nekretnine.rs/stambeni-objekti/stanovi/srebrno-jezero-prodaja-apartmana/NksfqMVUGf3/,"Srebrno jezero, Veliko Gradište, Srbija"
Vrnjačka Banja,Centar,Vrnjačka br. 12,144228,34.0,4242.0,"Prodaja luksuznih apartmana u kompleksu ""Zepterme"" u srcu Vrnjačke Banje, na samoj Promenadi",https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaja-luksuznih-apartmana-u-kompleksu-zepterme-u-srcu-vrnjacke-banje-na-samoj-promenadi/NkP4cwJmDd2/,"Centar, Vrnjačka Banja, Srbija"
Loznica,Banjski šor,Vojvode Stepe 2,106650,79.0,1350.0,Na prodaju stan u izgradnji! Vojvode Stepe 2,https://www.nekretnine.rs/stambeni-objekti/stanovi/na-prodaju-stan-u-izgradnji-vojvode-stepe-2/NktQkXqGVbj/,"Banjski šor, Loznica, Srbija"
Loznica,Banjski šor,Vojvode Stepe 2,81000,60.0,1350.0,Na prodaju stan u izgradnji! Vojvode Stepe 2!,https://www.nekretnine.rs/stambeni-objekti/stanovi/na-prodaju-stan-u-izgradnji-vojvode-stepe-2/NkF59Cj1XEX/,"Banjski šor, Loznica, Srbija"
Loznica,Banjski šor,Vojvode Stepe 2,74250,55.0,1350.0,Na prodaju stan u izgradnji! Vojvode Stepe 2!,https://www.nekretnine.rs/stambeni-objekti/stanovi/na-prodaju-stan-u-izgradnji-vojvode-stepe-2/NkziRx5ddRm/,"Banjski šor, Loznica, Srbija"
Kopaonik,Stefana Prvovencanog,N/A,39200,28.0,1400.0,MILMARI PREMIER LUX!,https://www.nekretnine.rs/stambeni-objekti/stanovi/milmari-premier-lux/NkCJSTrGTZZ/,"Kopaonik, Srbija"
Zlatibor,Palisad,Vojvodjanska,69500,44.0,1579.55,"LUX stanovi, Vojvodjanska, AMG vila",https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-stanovi-vojvodjanska-amg-vila/Nk9skgrCkf4/,"Palisad, Zlatibor, Srbija"
Vrnjačka Banja,Centar,Kosovska,56000,32.0,1750.0,Dvosoban - NOVOGRADNJA - Vrnjacka Banja - 32m2 - Serenity Residence,https://www.nekretnine.rs/stambeni-objekti/stanovi/dvosoban-novogradnja-vrnjacka-banja-32m2-serenity-residence/Nkr0brl1Vlw/,"Centar, Vrnjačka Banja, Srbija"
Zlatibor,Palisad,Andrije Jevremovića,18001800,3767.0,4778.82,LUX APARTMANI SA NAJLEPŠIM POGLEDOM NA ZLATIBORU - Palisad,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-apartmani-sa-najlepsim-pogledom-na-zlatiboru-palisad/NkFWyq4XBRj/,"Palisad, Zlatibor, Srbija"
Vrdnik,Zgrada Orhideja Apartman br. 214,N/A,118000,34.0,3470.59,"Vrdnik, Fruske Residence, Garsonjera 34 m², Sa pogledom na Jug",https://www.nekretnine.rs/stambeni-objekti/stanovi/vrdnik-fruske-residence-garsonjera-34-m2-sa-pogledom-na-jug/NkbFlYXrw3I/,"Vrdnik, Srbija"
Kopaonik,Jovana Cvijica,N/A,199000,36.19,5498.76,Luksuzni apartman u samom centru Kopaonika,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzni-apartman-u-samom-centru-kopaonika/Nky_aH11eyt/,"Kopaonik, Srbija"
Zlatibor,Obudojevica,Narcisa,61100,39.44,1549.19,Zlatibor-uknjižen-ulica-Narcisa-Obudojevica,https://www.nekretnine.rs/stambeni-objekti/stanovi/zlatibor-uknjizen-ulica-narcisa-obudojevica/NkVzWqYoz0P/,"Obudojevica, Zlatibor, Srbija"
